No,Combined Capacity,Individual Probability,Cumulative Probability,Reversed Cumulative Probability
1,875.0,0.024313557234579272,0.9999999999999998,0.024313557234579272
2,870.0,0.020277350789299188,0.9756864427654205,0.04459090802387846
3,865.0,0.041832258239897044,0.9554090919761213,0.0864231662637755
4,860.0,0.030253699151519698,0.9135768337362243,0.11667686541529519
5,855.0,0.05121388429892988,0.8833231345847047,0.16789074971422507
6,850.0,0.03600060276445604,0.8321092502857748,0.20389135247868112
7,845.0,0.049800689380216624,0.7961086475213187,0.25369204185889777
8,840.0,0.03359595271321497,0.7463079581411021,0.28728799457211274
9,835.0,0.04049306870387599,0.7127120054278872,0.3277810632759887
10,830.0,0.02643514211011489,0.6722189367240111,0.3542162053861036
11,825.0,0.04848317226707002,0.6457837946138962,0.4026993776531736
12,820.0,0.034708146961975946,0.5973006223468262,0.43740752461514953
13,815.0,0.05201114367016129,0.5625924753848502,0.48941866828531083
14,810.0,0.03568986221068856,0.510581331714689,0.5251085304959994
15,805.0,0.05170255574482958,0.47489146950400046,0.576811086240829
16,800.0,0.03529509097697749,0.4231889137591709,0.6121061772178065
17,795.0,0.045502530992414164,0.3878938227821934,0.6576087082102207
18,790.0,0.030219020780836117,0.34239129178977923,0.6878277289910568
19,785.0,0.03513112357292632,0.3121722710089431,0.7229588525639832
20,780.0,0.02272519944578231,0.2770411474360168,0.7456840520097655
21,775.0,0.03131164517662011,0.2543159479902345,0.7769956971863856
22,770.0,0.021201924167103384,0.22300430281361439,0.798197621353489
23,765.0,0.027153414611874212,0.20180237864651102,0.8253510359653633
24,760.0,0.018010298911416676,0.1746489640346368,0.84336133487678
25,755.0,0.023243384003446665,0.15663866512322014,0.8666047188802266
26,750.0,0.01546791928739249,0.13339528111977347,0.882072638167619
27,745.0,0.01866638556688119,0.11792736183238098,0.9007390237345002
28,740.0,0.012200514933267083,0.09926097626549979,0.9129395386677673
29,735.0,0.013652076853715944,0.0870604613322327,0.9265916155214833
30,730.0,0.008741835875118354,0.07340838447851676,0.9353334513966016
31,725.0,0.010588366215511916,0.0646665486033984,0.9459218176121136
32,720.0,0.006945934309614122,0.05407818238788648,0.9528677519217277
33,715.0,0.008058754827514825,0.04713224807827236,0.9609265067492425
34,710.0,0.005214022205914564,0.039073493250757534,0.9661405289551571
35,705.0,0.006144232732198271,0.03385947104484297,0.9722847616873553
36,700.0,0.003997171633790971,0.027715238312644698,0.9762819333211463
37,695.0,0.0045320053465391546,0.023718066678853726,0.9808139386676855
38,690.0,0.0029143410416028167,0.019186061332314572,0.9837282797092883
39,685.0,0.0031317866251314667,0.016271720290711757,0.9868600663344198
40,680.0,0.0019828691496111338,0.013139933665580292,0.9888429354840309
41,675.0,0.0022112894940414752,0.011157064515969158,0.9910542249780724
42,670.0,0.001417914205937022,0.008945775021927681,0.9924721391840094
43,665.0,0.0015305495661949208,0.007527860815990659,0.9940026887502044
44,660.0,0.0009706033381780754,0.005997311249795738,0.9949732920883825
45,655.0,0.0010609977477383993,0.0050267079116176625,0.9960342898361209
46,650.0,0.0006761105078643384,0.003965710163879263,0.9967104003439852
47,645.0,0.0007223455671797355,0.003289599656014925,0.9974327459111649
48,640.0,0.0004568201322936276,0.0025672540888351894,0.9978895660434586
49,635.0,0.0004702783401216696,0.0021104339565415618,0.9983598443835803
50,630.0,0.0002940238138812469,0.001640155616419892,0.9986538681974615
51,625.0,0.0003074490635630069,0.001346131802538645,0.9989613172610246
52,620.0,0.00019340234735793171,0.0010386827389756383,0.9991547196083825
53,615.0,0.00019680722152145983,0.0008452803916177065,0.999351526829904
