No,Combined Capacity,Individual Probability,Cumulative Probability,Reversed Cumulative Probability
119,285.0,7.401698117948738e-15,1.5689116062709644e-14,0.999999999999992
120,280.0,3.734719307166769e-15,8.287417944760906e-15,0.9999999999999958
121,275.0,2.213623904946949e-15,4.552698637594137e-15,0.999999999999998
122,270.0,1.0939743440954563e-15,2.339074732647188e-15,0.9999999999999991
123,265.0,6.237530031651043e-16,1.2451003885517314e-15,0.9999999999999998
124,260.0,3.0137210252841716e-16,6.21347385386627e-16,1.0
125,255.0,1.6507762719948494e-16,3.1997528285820984e-16,1.0000000000000002
126,250.0,7.784240103203301e-17,1.548976556587249e-16,1.0000000000000002
127,245.0,4.091610272453803e-17,7.70552546266919e-17,1.0000000000000002
128,240.0,1.8797942462569582e-17,3.6139151902153873e-17,1.0000000000000002
129,235.0,9.472008335915038e-18,1.7341209439584295e-17,1.0000000000000002
130,230.0,4.232323660640506e-18,7.869201103669255e-18,1.0000000000000002
131,225.0,2.0423537318087457e-18,3.636877443028749e-18,1.0000000000000002
132,220.0,8.858830990006397e-19,1.5945237112200028e-18,1.0000000000000002
133,215.0,4.089524429884332e-19,7.086406122193631e-19,1.0000000000000002
134,210.0,1.7184359158225912e-19,2.9968816923092983e-19,1.0000000000000002
135,205.0,7.579174071644057e-20,1.278445776486707e-19,1.0000000000000002
136,200.0,3.078192794527346e-20,5.2052836932230124e-20,1.0000000000000002
137,195.0,1.2951404371328906e-20,2.127090898695666e-20,1.0000000000000002
138,190.0,5.070615653259421e-21,8.319504615627754e-21,1.0000000000000002
139,185.0,2.0314642711306704e-21,3.2488889623683336e-21,1.0000000000000002
140,180.0,7.643534703772016e-22,1.217424691237663e-21,1.0000000000000002
141,175.0,2.909289120367278e-22,4.530712208604613e-22,1.0000000000000002
142,170.0,1.0482409186526733e-22,1.6214230882373357e-22,1.0000000000000002
143,165.0,3.780120119919666e-23,5.731821695846623e-23,1.0000000000000002
144,160.0,1.2988326727081424e-23,1.9517015759269575e-23,1.0000000000000002
145,155.0,4.422935797628764e-24,6.52868903218815e-24,1.0000000000000002
146,150.0,1.4421331129013047e-24,2.105753234559386e-24,1.0000000000000002
147,145.0,4.619139081337793e-25,6.636201216580815e-25,1.0000000000000002
148,140.0,1.421169185999423e-25,2.0170621352430226e-25,1.0000000000000002
149,135.0,4.261998840949418e-26,5.958929492435997e-26,1.0000000000000002
150,130.0,1.2295362900943505e-26,1.6969306514865785e-26,1.0000000000000002
151,125.0,3.4347570638918176e-27,4.673943613922281e-27,1.0000000000000002
152,120.0,9.228237856616368e-28,1.2391865500304634e-27,1.0000000000000002
153,115.0,2.3879412047373487e-28,3.1636276436882657e-28,1.0000000000000002
154,110.0,5.932869835907896e-29,7.75686438950917e-29,1.0000000000000002
155,105.0,1.4133446594290846e-29,1.8239945536012746e-29,1.0000000000000002
156,100.0,3.2233084144798124e-30,4.1064989417219e-30,1.0000000000000002
157,95.0,7.020382989771632e-31,8.831905272420876e-31,1.0000000000000002
158,90.0,1.4580687302306155e-31,1.8115222826492446e-31,1.0000000000000002
159,85.0,2.8800251463303857e-32,3.5345355241862905e-32,1.0000000000000002
160,80.0,5.398082114137767e-33,6.545103778559048e-33,1.0000000000000002
161,75.0,9.574065137854965e-34,1.1470216644212806e-33,1.0000000000000002
162,70.0,1.601517819730027e-34,1.8961515063578403e-34,1.0000000000000002
163,65.0,2.5179361411355596e-35,2.946336866278133e-35,1.0000000000000002
164,60.0,3.7041148883267464e-36,4.2840072514257344e-36,1.0000000000000002
165,55.0,5.072736450760698e-37,5.79892363098988e-37,1.0000000000000002
166,50.0,6.427268131999263e-38,7.261871802291817e-38,1.0000000000000002
167,45.0,7.474277667347858e-39,8.346036702925533e-39,1.0000000000000002
168,40.0,7.900744611507491e-40,8.717590355776739e-40,1.0000000000000002
169,35.0,7.493868417877616e-41,8.16845744269247e-41,1.0000000000000002
170,30.0,6.266472541503383e-42,6.745890248148545e-42,1.0000000000000002
171,25.0,4.511416613182716e-43,4.794177066451619e-43,1.0000000000000002
172,20.0,2.696951628579822e-44,2.8276045326890292e-44,1.0000000000000002
173,15.0,1.2632000202313973e-45,1.3065290410920764e-45,1.0000000000000002
174,10.0,4.2432205657660364e-47,4.3329020860679105e-47,1.0000000000000002
175,5.0,8.882624694749659e-49,8.968152030187413e-49,1.0000000000000002
176,0.0,8.552733543775468e-51,8.552733543775468e-51,1.0000000000000002
