,Combined Capacity,Individual Probability,Cumulative Probability,Reversed Cumulative Probability
1,875.0,0.024313557234579276,0.9999999999999989,0.024313557234579276
2,870.0,0.020277350789299188,0.9756864427654196,0.04459090802387847
3,865.0,0.04183225823989706,0.9554090919761205,0.08642316626377552
4,860.0,0.03025369915151969,0.9135768337362233,0.11667686541529522
5,855.0,0.05121388429892987,0.8833231345847037,0.16789074971422507
6,850.0,0.03600060276445603,0.8321092502857739,0.20389135247868112
7,845.0,0.0498006893802166,0.7961086475213178,0.2536920418588977
8,840.0,0.033595952713214944,0.7463079581411012,0.2872879945721126
9,835.0,0.04049306870387595,0.7127120054278863,0.32778106327598855
10,830.0,0.026435142110114856,0.6722189367240103,0.35421620538610343
11,825.0,0.04848317226706998,0.6457837946138955,0.40269937765317343
12,820.0,0.03470814696197593,0.5973006223468255,0.43740752461514937
13,815.0,0.05201114367016126,0.5625924753848496,0.4894186682853106
14,810.0,0.03568986221068853,0.5105813317146883,0.5251085304959991
15,805.0,0.051702555744829536,0.4748914695039998,0.5768110862408287
16,800.0,0.03529509097697745,0.4231889137591703,0.6121061772178061
17,795.0,0.045502530992414116,0.3878938227821928,0.6576087082102202
18,790.0,0.03021902078083607,0.3423912917897787,0.6878277289910563
19,785.0,0.035131123572926276,0.3121722710089426,0.7229588525639825
20,780.0,0.022725199445782274,0.2770411474360164,0.7456840520097647
21,775.0,0.03131164517662008,0.2543159479902341,0.7769956971863848
22,770.0,0.021201924167103352,0.22300430281361402,0.7981976213534882
23,765.0,0.027153414611874177,0.20180237864651068,0.8253510359653623
24,760.0,0.01801029891141665,0.1746489640346365,0.843361334876779
25,755.0,0.023243384003446638,0.15663866512321986,0.8666047188802256
26,750.0,0.015467919287392471,0.13339528111977322,0.882072638167618
27,745.0,0.018666385566881164,0.11792736183238076,0.9007390237344992
28,740.0,0.012200514933267063,0.0992609762654996,0.9129395386677662
29,735.0,0.013652076853715922,0.08706046133223254,0.9265916155214822
30,730.0,0.008741835875118342,0.07340838447851662,0.9353334513966005
31,725.0,0.0105883662155119,0.06466654860339828,0.9459218176121124
32,720.0,0.006945934309614111,0.05407818238788638,0.9528677519217265
33,715.0,0.008058754827514811,0.047132248078272265,0.9609265067492413
34,710.0,0.005214022205914556,0.03907349325075746,0.9661405289551559
35,705.0,0.006144232732198261,0.0338594710448429,0.9722847616873541
36,700.0,0.003997171633790963,0.027715238312644642,0.9762819333211451
37,695.0,0.004532005346539147,0.023718066678853678,0.9808139386676843
38,690.0,0.0029143410416028115,0.01918606133231453,0.9837282797092871
39,685.0,0.003131786625131461,0.01627172029071172,0.9868600663344186
40,680.0,0.0019828691496111294,0.013139933665580259,0.9888429354840297
41,675.0,0.002211289494041471,0.01115706451596913,0.9910542249780712
42,670.0,0.0014179142059370191,0.008945775021927659,0.9924721391840082
